"","gender","age","country","handed","languages","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","travel","timetravel","bagweight","bagcarry","favlearning","reaction","cellmonths","fitlevel","pulserest","prefquality","superpower","timetaken","year"
"16672","male",14,"Fiji","right",1,172,24,179,18,42,47,93,100,"walk",10,4000,"diagonal","english",0.437,0,"quitefit",70,"happy","fly",515,9
"6153","male",13,"newzealand","right",NA,165,12,152,7,14,20,38,40,"motor",10,2900,"two","english",0.5,15,"unfit",-1,"rich","time",664,9
"1687","male",13,"newzealand","right",2,170,26,150,34,39,42,70,75,"bus",30,5000,"two","health",0.36,6,"quitefit",24,"healthy","fly",379,9
"671","male",13,"newzealand","right",2,162,25,164,17,31,41,90,100,"motor",10,4500,"two","health",0.609,4,"quitefit",84,"rich","time",916,9
"5554","male",17,"newzealand","right",1,183,30,186,18,38,51,NA,NA,"bus",35,500,"two","technology",0.39,2,"quitefit",92,"healthy","fly",960,13
"20122","male",14,"Russia","right",2,175,27,175,16,34,43,75,75,"walk",3,4000,"one","science",0.386,24,"quitefit",74,"happy","time",1188,11
"12038","female",14,"newzealand","right",2,174,24,113,17,33,46,90,80,"walk",30,2300,"one","arts",0.328,4,"littlefit",80,"rich","telepathy",712,10
"18854","female",14,"newzealand","right",1,164,24,169,16,32,57,65,70,"motor",10,5500,"two","arts",0.385,7,"quitefit",76,"happy","strength",558,10
"2721","female",17,"china","right",3,158,21,146,16,29,38,7,7,"walk",40,500,"one","arts",0.75,3,"littlefit",60,"healthy","time",361,12
"10325","female",11,"england","right",1,155,23,155,14,28,41,80,70,"motor",5,NA,"two","mathstats",0.445,NA,"quitefit",56,"rich","invisibility",1134,7
"11510","female",13,"newzealand","right",1,172,24,168,18,35,49,9,8,"motor",10,NA,"one","languages",0.422,6,"littlefit",60,"happy","telepathy",588,9
"5415","female",14,"newzealand","right",1,169,25,66,17,37,42,90,100,"walk",40,NA,"two","health",0.281,28,"quitefit",53,"happy","time",322,10
"15486","female",13,"newzealand","right",2,160,22,160,16,30,48,75,75,"bus",15,6500,"one","english",3.547,12,"quitefit",52,"happy","fly",1572,9
"102","male",12,"newzealand","right",2,158,26,151,16,32,42,95,100,"walk",20,5000,"two","english",0.406,0,"quitefit",88,"rich","telepathy",297,8
"19754","female",12,"newzealand","left",1,158,230,163,18,NA,24,65,68,"walk",3,NA,"diagonal","arts",0.443,16,"quitefit",-1,"happy","invisibility",1281,8
"8416","male",10,"new zealand","left",1,150,1,NA,NA,NA,1,4,6,"motor",18,NA,"two","arts",0.445,3,"littlefit",32,"happy","fly",2623,6
"11005","female",13,"Fiji","right",7,171,25,168,15,31,55,179,180,"train",59,2500,"one","arts",0.516,0,"littlefit",80,"rich","telepathy",942,9
"10550","female",11,"newzealand","right",1,155,25,144,19,32,50,90,NA,"motor",4,NA,"two","english",0.375,9,"quitefit",57,"healthy","telepathy",654,7
"11413","male",13,"china","right",1,158,25,162,16,32,42,75,70,"bus",20,4000,"diagonal","technology",0.312,0,"veryfit",70,"happy","time",406,9
"19036","female",16,"newzealand","right",1,162,22,165,15,22,40,91,69,"walk",12,NA,"two","health",0.438,6,"veryfit",56,"happy","telepathy",1354,12
"10123","female",9,"newzealand","left",1,140,16,NA,8,20,14,35,30,"motor",10,NA,"two","mathstats",0.561,0,"veryfit",112,"healthy","invisibility",1699,5
"8273","male",15,"Korea","right",2,180,27,182,8,34,35,52,46,"walk",10,8000,"two","mathstats",0.265,14,"quitefit",-1,"rich","time",2330,11
"5427","female",9,"newzealand","right",2,131,17,NA,18,28,30,50,55,"bike",45,NA,"two","science",0.38,0,"quitefit",65,"happy","invisibility",511,5
"14692","male",14,"newzealand","right",1,160,26,150,18,33,44,70,80,"walk",1,NA,"two","social",0.313,9,"littlefit",-1,"rich","time",1285,9
"10025","female",13,"newzealand","right",1,151,20,154,14,50,49,7,7,"bus",60,5000,"two","arts",0.515,4,"quitefit",-1,"happy","fly",311,9
"6874","male",14,"newzealand","right",1,164,26,167,16,35,43,8,9,"motor",5,1900,"two","health",0.609,7,"quitefit",44,"rich","fly",1113,10
"18205","female",12,"newzealand","right",1,150,23,171,NA,30,44,80,82,"bus",25,6000,"one","arts",0.407,1,"littlefit",72,"healthy","telepathy",745,9
"6523","female",10,"philippines","left",3,154,38,152,8,16,39,7,6,"walk",5,NA,"two","mathstats",0.446,11,"quitefit",93,"healthy","telepathy",836,6
"19254","male",13,"Brasil","left",2,148,23,NA,17,31,42,40,50,"bus",20,NA,"diagonal","health",0.452,3,"veryfit",-1,"healthy","fly",1058,9
"10842","female",13,"england","right",1,167,21,NA,17,31,50,100,70,"bus",60,2000,"one","technology",1.733,4,"quitefit",84,"happy","time",606,9
"7231","female",13,"china","right",2,160,22,160,15,31,40,77,71,"walk",12,NA,NA,NA,0.317,9,"littlefit",58,"rich","fly",792,9
"14139","female",13,"newzealand","right",3,123,30,20,43,23,1,10,63,"walk",45,1060,"two","health",0.562,12,"quitefit",55,"happy","strength",784,9
"12586","female",12,"newzealand","right",1,163,26,166,16,32,43,97,100,"motor",35,4500,"one","social",0.437,18,"littlefit",100,"rich","invisibility",334,8
"14167","female",13,"newzealand","left",2,162,24,163,16,32,42,90,100,"bus",45,3000,"diagonal","languages",0.393,3,"quitefit",85,"happy","telepathy",1256,9
"17743","female",12,"newzealand","right",1,147,23,144,15,28,41,70,70,"motor",2,NA,"two","health",1.735,4,"veryfit",19,"famous","strength",807,8
"12150","male",8,"china","ambi",NA,120,60,100,NA,NA,1,1,1,NA,180,1900,"hand","english",NA,NA,"unfit",NA,"rich","time",262,13
"11796","female",14,"auckland","right",2,169,20,171,18,28,45,70,70,"bus",23,1500,"two","arts",0,6,"littlefit",-1,"rich","fly",773,10
"7413","male",13,"newzealand","right",1,160,29,140,7,14,NA,8,33,"bike",10,2500,"two","health",0.39,6,"quitefit",-1,"happy","invisibility",475,9
"4632","male",13,"newzealand","right",1,148,22,147,15,30,46,70,66,"walk",7,5000,"two","mathstats",0.541,2,"veryfit",68,"famous","invisibility",568,9
"4781","female",13,"newzealand","left",1,157,24,156,15,33,49,5,67,"motor",15,3900,"diagonal","arts",0.56,15,"littlefit",70,"happy","time",665,9
"10445","female",12,"newzealand","right",1,162,24,103,16,37,42,10,10,"motor",23,3000,"one","health",0.461,2,"quitefit",44,"famous","time",661,8
"17040","female",14,"newzealand","right",1,165,8,67,16,31,43,100,85,"motor",45,3000,"one","english",0.422,5,"littlefit",72,"famous","telepathy",329,10
"8369","male",9,"england","ambi",6,136,24,56,26,36,24,6,6,"bike",10,1100,"two","health",0.39,0,"veryfit",15,"famous","time",940,5
"12850","male",13,"newzealand","right",2,160,75,158,17,34,50,9,6,"walk",10,NA,"two","languages",NA,NA,"littlefit",50,"famous","time",671,9
"13100","female",14,"newzealand","right",1,158,24,153,14,29,39,75,75,"motor",10,4500,"two","arts",0.344,1,"littlefit",46,"famous","fly",452,9
"8225","female",13,"newzealand","right",1,163,23,168,18,34,52,80,90,"bus",45,NA,"one","arts",0.532,8,"quitefit",78,"happy","time",509,9
"17364","female",14,"Russia","left",2,165,23,162,74,NA,53,75,72,"walk",20,2600,"one","arts",0.407,4,"veryfit",74,"happy","telepathy",785,10
"8511","male",12,"newzealand","right",1,164,27,170,18,38,46,73,82,"walk",6,NA,"two","technology",0.442,12,"quitefit",44,"happy","time",1454,8
"6389","male",13,"australia","right",NA,166,28,180,15,13,55,105,110,"walk",2,NA,"diagonal","health",0.514,9,"veryfit",49,"healthy","time",646,10
"6105","male",11,"newzealand","right",1,151,23,152,16,33,40,70,80,"walk",15,3000,"two","mathstats",0.562,3,"littlefit",80,"famous","telepathy",636,7
"17874","female",17,"newzealand","right",1,166,24,166,14,30,43,7,7,"walk",25,NA,"two","health",0.265,6,"quitefit",64,"happy","invisibility",474,13
"1396","female",13,"newzealand","left",1,152,23,151,13,28,40,71,55,"walk",7,5000,"two","english",0.391,20,"quitefit",82,"happy","invisibility",715,9
"18947","female",11,"newzealand","left",2,166,23,168,17,35,43,8,9,"walk",2,NA,"diagonal","english",0.597,0,"littlefit",128,"happy","invisibility",574,8
"18881","female",14,"Japan","right",2,156,22,157,15,29,43,90,80,"bus",15,5400,"two","arts",0.341,52,"littlefit",88,"happy","fly",1347,10
"9852","female",17,"newzealand","right",2,148,20,61,10,29,30,6,6,"motor",8,NA,"diagonal","social",0.438,0,"quitefit",65,"rich","fly",342,12
"174","female",13,"France","right",3,169,18,169,15,30,45,100,70,"walk",2,6000,"one","science",0.953,4,"veryfit",18,"happy","telepathy",1059,10
"6009","male",12,"newzealand","right",1,168,32,NA,22,38,42,91,91,"walk",11,NA,"one","health",0.328,2,"quitefit",76,"rich","telepathy",814,8
"12705","male",14,"newzealand","right",1,164,26,157,17,29,43,77,75,"walk",40,2300,"two","health",0.344,14,"quitefit",68,"happy","time",395,10
"17312","female",10,"newzealand","right",1,150,25,150,15,27,40,72,65,"motor",6,1100,"one","arts",1.031,6,"quitefit",40,"rich","telepathy",348,6
"12373","female",14,"newzealand","right",2,162,24,159,15,32,44,72,71,"motor",20,5000,"one","arts",0.431,7,"quitefit",84,"happy","time",864,10
"14347","female",14,"newzealand","right",1,165,245,65,14,31,42,80,73,"bus",25,2700,"one","science",0.449,3,"veryfit",92,"happy","fly",543,10
"2892","male",12,"newzealand","right",1,145,23,139,15,28,40,65,65,"bike",15,2000,"diagonal","social",0.314,0,"veryfit",96,"famous","invisibility",510,8
"18895","female",13,"newzealand","right",1,165,23,162,16,29,39,80,73,"bus",26,3500,"one","health",0.567,4,"veryfit",72,"happy","telepathy",783,9
"9669","female",10,"chelviot new zealand","right",1,NA,24,147,15,32,33,9,7,"walk",10,NA,"two","arts",0.406,1,"quitefit",64,"rich","time",6191,6
"10145","female",12,"newzealand","right",1,146,22,143,16,31,42,71,71,"bus",25,1500,"one","arts",0.428,12,"veryfit",64,"famous","strength",665,7
"3218","male",12,"newzealand","left",1,137,20,135,17,33,34,75,70,"motor",3,1000,"two","technology",0.373,21,"quitefit",76,"rich","fly",597,8
"7505","female",14,"newzealand","right",1,152,25,51,20,34,43,10,11,"motor",15,NA,"two","health",0.375,18,"quitefit",76,"happy","strength",1126,10
"4649","male",10,"newzealand","right",1,141,22,130,15,31,39,65,60,"motor",5,2000,"one","arts",0.435,0,"littlefit",80,"healthy","time",2090,6
"1779","female",12,"american","right",1,154,36,NA,15,38,53,85,89,"bus",20,NA,"diagonal","health",1.547,3,"quitefit",90,"healthy","telepathy",550,8
"3871","female",10,"newzealand","right",NA,100,221,48,53,100,35,60,60,"bike",15,NA,"one","arts",0.889,10,"quitefit",23,"famous","fly",783,6
"18336","female",12,"newzealand","right",2,NA,24,159,18,16,49,90,82,"walk",15,NA,"two","arts",0.426,0,"quitefit",63,"happy","telepathy",971,8
"8368","female",14,"newzealand","right",1,169,25,167,17,35,44,100,95,"walk",20,2600,"one","arts",0.453,11,"quitefit",64,"happy","invisibility",683,11
"1998","male",13,"newzealand","right",1,163,29,164,17,28,45,35,38,"motor",10,5000,"two","health",0.469,3,"veryfit",64,"healthy","time",545,9
"11937","male",13,"newzealand","right",2,155,26,156,16,32,43,70,60,"motor",12,NA,"two","health",NA,14,"quitefit",76,"rich","time",899,9
"7272","female",9,"england","right",1,129,18,117,14,29,32,65,50,"walk",45,NA,"two","arts",0.688,79,"quitefit",57,"healthy","telepathy",856,5
"2039","male",14,"southafrica","right",1,176,28,169,18,30,40,70,71,"walk",20,NA,"two","health",0.39,3,"littlefit",84,"rich","strength",743,10
"18365","female",11,"newzealand","right",1,150,23,151,15,29,41,90,80,"walk",1,1700,"diagonal","arts",0.844,15,"veryfit",68,"happy","telepathy",535,7
"6575","male",10,"australia","right",1,150,22,145,14,30,40,80,80,"motor",5,900,"two","mathstats",0.359,24,"quitefit",22,"happy","fly",1057,6
"1955","female",14,"newzealand","ambi",3,158,24,150,17,32,NA,7,7,"walk",30,NA,"one","social",0.761,6,"quitefit",42,"famous","telepathy",445,9
"3030","female",11,"newzealand","right",1,160,27,154,20,40,47,9,8,"motor",15,NA,"one","science",0.609,24,"littlefit",-1,"happy","strength",561,7
"2036","female",10,"Pakistan","right",2,147,28,157,16,28,38,70,70,"walk",10,2000,"two","technology",0.469,NA,"quitefit",80,"rich","time",1301,6
"17299","female",13,"newzealand","right",1,170,26,192,16,31,64,102,108,"bus",35,6300,"two","health",0.297,20,"littlefit",96,"happy","fly",555,9
"12593","female",12,"australia","right",1,159,12,159,31,67,32,6,6,"bus",35,NA,"one","arts",0.391,0,"littlefit",93,"rich","invisibility",295,7
"2792","male",13,"newzealand","right",1,161,27,70,14,31,44,80,70,"bike",15,NA,"one","health",0.326,NA,"quitefit",92,"happy","time",443,9
"15993","male",13,"newzealand","right",2,NA,75,75,75,75,75,75,75,"walk",30,500,"two","health",0.343,1,"quitefit",123,"rich","strength",922,9
"7570",NA,14,"korea","right",2,152,20,153,17,32,38,75,60,"walk",10,800,"one","arts",0.328,6,"littlefit",58,"rich","time",696,10
"11661","female",11,"newzealand","right",1,154,20,NA,15,30,35,75,65,"bus",13,2800,"one","arts",0.469,NA,"quitefit",61,"famous","fly",951,7
"11302","male",11,"newzealand","right",2,145,24,120,16,29,40,70,65,"walk",5,NA,"two","mathstats",0.36,0,"quitefit",-1,"happy","fly",1752,8
"12299","female",15,"newzealand","right",2,169,24,54,17,36,47,7,7,"bus",30,NA,"one","languages",1.599,16,"quitefit",72,"happy","fly",365,11
"8733","male",12,"newzealand","right",1,150,20,60,15,30,40,90,100,"motor",15,500,"diagonal","health",0.578,16,"veryfit",96,"rich","strength",695,8
"14942","male",14,"USA","right",2,171,27,175,16,30,41,75,80,"bike",5,2000,"two","science",0.422,36,"quitefit",76,"happy","time",570,10
"13544","female",13,"newzealand","right",2,170,26,170,20,20,NA,110,80,"motor",10,NA,"two","languages",0.313,0,"quitefit",18,"famous","invisibility",1087,9
"11078","female",13,"newzealand","right",2,164,23,161,15,30,38,80,80,"motor",7,7000,"one","science",0.36,6,"veryfit",74,"happy","invisibility",593,9
"19964","female",14,"newzealand","right",NA,157,20,148,14,30,38,70,68,"other",5,NA,"diagonal","health",0.485,18,"quitefit",18,"rich","fly",734,10
